Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.08908046,0.279310345,0.027586207,0.013793103,0.038314176,0.079310345,0.021551724,0.015673981,0.153571429,0.043650794,0.014285714,0.064935065
"(1, 2]",0.105555556,0.276666667,0,0,0,0.003333333,0,0,0.016666667,0,0.003333333,0.090909091
"(2, 3]",0.133333333,0.416666667,0.01,0,0,0.043333333,0,0,0.033333333,0.003703704,0.016666667,0.066666667
"(3, 4]",0.175,0.38,0.026666667,0,0,0.086666667,0.012096774,0.005865103,0.113333333,0.003703704,0.006666667,0.003030303
"(4, 5]",0.189655172,0.406896552,0,0.096551724,0,0.031034483,0,0.015673981,0.120689655,0.007662835,0,0
"(5, 6]",0.216666667,0.136666667,0.02,0.073333333,0,0.166666667,0,0.012121212,0.026666667,0.007407407,0,0
"(6, 7]",0.105555556,0.263333333,0.003333333,0.12,0,0.093333333,0.020833333,0.024242424,0.006666667,0,0,0
"(7, 8]",0.077777778,0.213333333,0.003333333,0.02,0.003703704,0.023333333,0,0,0.043333333,0.007407407,0.01,0
"(8, 9]",0.163888889,0.226666667,0.056666667,0.156666667,0.022222222,0.09,0,0.003030303,0.116666667,0,0,0
"(9, 10]",0.177777778,0.166666667,0.006666667,0.07,0,0.056666667,0.008333333,0.003030303,0.066666667,0.051851852,0,0
"(10, 11]",0.186781609,0.313793103,0,0.079310345,0.003831418,0.124137931,0,0,0.117241379,0,0,0.006269592
"(11, 12]",0.172222222,0.246666667,0.06,0.076666667,0,0.24,0,0.021212121,0.093333333,0,0,0
"(12, 13]",0.127777778,0.366666667,0,0.103333333,0,0.23,0,0.006060606,0,0,0,0
"(13, 14]",0.130555556,0.273333333,0,0.1,0,0.136666667,0.033333333,0,0,0,0,0.006060606
"(14, 15]",0.1,0.246666667,0,0.003333333,0.007407407,0.116666667,0.025,0.021212121,0,0.02962963,0,0
"(15, 16]",0.172222222,0.446666667,0.063333333,0.03,0,0.236666667,0,0,0.003333333,0,0.01,0
"(16, 17]",0.077586207,0.313793103,0.027586207,0.086206897,0,0.203448276,0,0,0,0,0,0
"(17, 18]",0.097222222,0.23,0,0,0,0.126666667,0.008333333,0.015151515,0.03,0,0,0
"(18, 19]",0.119444444,0.246666667,0,0,0.040740741,0.183333333,0.029166667,0,0.01,0,0.006666667,0
"(19, 20]",0.191666667,0.18,0.003333333,0,0,0.13,0,0.024242424,0,0.025925926,0,0
"(20, 21]",0.152777778,0.143333333,0,0.096666667,0.033333333,0.09,0,0.018181818,0.006666667,0.033333333,0,0
"(21, 22]",0.133333333,0.14,0.053333333,0.21,0.040740741,0.096666667,0,0.018181818,0,0.025925926,0,0
"(22, 23]",0.186781609,0.234482759,0.05862069,0.206896552,0.091954023,0.089655172,0,0.012539185,0.072413793,0.022988506,0.006896552,0.009404389
"(23, 24]",0.141666667,0.22,0.023333333,0.063333333,0.088888889,0.18,0,0.006060606,0.103333333,0.059259259,0.01,0
"(24, 25]",0.111111111,0.113333333,0.023333333,0.066666667,0.088888889,0.09,0,0,0.05,0.014814815,0.01,0
"(25, 26]",0.111111111,0.206666667,0.013333333,0.166666667,0.066666667,0.08,0,0.021212121,0.083333333,0.02962963,0.006666667,0
"(26, 27]",0.108333333,0.186666667,0.086666667,0.223333333,0.07037037,0.076666667,0,0,0,0,0.02,0
"(27, 28]",0.083333333,0.146666667,0.023333333,0.06,0.118518519,0.04,0.008333333,0.024242424,0.016666667,0,0.013333333,0.039393939
"(28, 29]",0.135057471,0.072413793,0,0.168965517,0.222222222,0.003448276,0,0.02507837,0.031034483,0,0,0.137931034
