Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.234482759,0.034482759,0.02507837,0.037931034,0.196551724,0.015673981,0.166144201,0.065830721,0.135714286,0.24025974,0.11038961,0.014285714
"(1, 2]",0.19,0.066666667,0.003030303,0,0.206896552,0,0.181818182,0.015151515,0.043333333,0.251515152,0.03030303,0
"(2, 3]",0.146666667,0.087878788,0.006060606,0.016666667,0.21,0,0.178787879,0.056426332,0.05,0.272727273,0.027272727,0
"(3, 4]",0.263333333,0.027272727,0.021212121,0,0.23,0,0.103030303,0.011730205,0.03,0.236363636,0.078787879,0.003333333
"(4, 5]",0.14137931,0.059561129,0.068965517,0.020689655,0.203333333,0,0.090909091,0.056426332,0.031034483,0.272727273,0.10031348,0
"(5, 6]",0.206666667,0.009090909,0.06969697,0.003333333,0.106666667,0.006060606,0.090909091,0.045454545,0,0.287878788,0.054545455,0
"(6, 7]",0.213333333,0.012121212,0.009090909,0,0.1,0.009090909,0.1,0,0.016666667,0.272727273,0.048484848,0
"(7, 8]",0.233333333,0.027272727,0,0,0.13,0,0.184848485,0,0.116666667,0.218181818,0.021212121,0
"(8, 9]",0.333333333,0.003030303,0,0.08,0.166666667,0,0.212121212,0,0.04,0.2,0.115151515,0
"(9, 10]",0.31,0.009090909,0,0.073333333,0.146666667,0,0.157575758,0.03030303,0.063333333,0.196969697,0.042424242,0
"(10, 11]",0.375862069,0,0,0.04137931,0.324137931,0.009404389,0.184952978,0.119122257,0.072413793,0.278996865,0.078369906,0
"(11, 12]",0.35,0.018181818,0,0.093333333,0.336666667,0.012121212,0.193939394,0.124242424,0,0.257575758,0.048484848,0
"(12, 13]",0.3,0.003030303,0,0.073333333,0.33,0.012121212,0.160606061,0.084848485,0,0.275757576,0.090909091,0
"(13, 14]",0.246666667,0,0.012121212,0.066666667,0.356666667,0.036363636,0.160606061,0.1,0,0.236363636,0.012121212,0
"(14, 15]",0.22,0,0.024242424,0,0.253333333,0,0.166666667,0.121212121,0,0.239393939,0,0.013333333
"(15, 16]",0.26,0.006060606,0,0.003333333,0.263333333,0,0.178787879,0.278787879,0,0.251515152,0.006060606,0.016666667
"(16, 17]",0.14137931,0.021943574,0.018808777,0.017241379,0.179310345,0,0.181818182,0.181818182,0,0.278996865,0,0.006896552
"(17, 18]",0.163333333,0.024242424,0.003030303,0,0.2,0.036363636,0.139393939,0.109090909,0.03,0.260606061,0.048484848,0
"(18, 19]",0.126666667,0.018181818,0,0.046666667,0.146666667,0.060606061,0.157575758,0.075757576,0.08,0.393939394,0.096969697,0
"(19, 20]",0.093333333,0,0.003030303,0,0.126666667,0.075757576,0.142424242,0.193939394,0.07,0.333333333,0.106060606,0
"(20, 21]",0.163333333,0.003030303,0.012121212,0.003333333,0.2,0.036363636,0.181818182,0.178787879,0.06,0.266666667,0.081818182,0.033333333
"(21, 22]",0.183333333,0.009090909,0.003030303,0,0.263333333,0.039393939,0.181818182,0.193939394,0,0.281818182,0.112121212,0.013333333
"(22, 23]",0.231034483,0.012539185,0.018808777,0.034482759,0.272413793,0,0.228840125,0.150470219,0,0.178683386,0.191222571,0
"(23, 24]",0.2,0.012121212,0.024242424,0.1,0.13,0.006060606,0.218181818,0.196969697,0,0.206060606,0.133333333,0
"(24, 25]",0.286666667,0.006060606,0.003030303,0.053333333,0.03,0.042424242,0.242424242,0.142424242,0,0.193939394,0.003030303,0
"(25, 26]",0.146666667,0,0,0.113333333,0.006666667,0.03030303,0.124242424,0.178787879,0,0.224242424,0.060606061,0
"(26, 27]",0.146666667,0,0.003030303,0.09,0.036666667,0.066666667,0.157575758,0.115151515,0,0.242424242,0.127272727,0
"(27, 28]",0.143333333,0,0.009090909,0.07,0.08,0.036363636,0.163636364,0.072727273,0.013333333,0.239393939,0.075757576,0
"(28, 29]",0.075862069,0.003134796,0.015673981,0.137931034,0,0,0.181818182,0.034482759,0.017241379,0.109717868,0.047021944,0
"(29, 30]",0.266666667,0.015151515,0.018181818,0,0.056666667,0.096969697,0.139393939,0.054545455,0,0.133333333,0.066666667,0
"(30, 31]",0.13,0.063636364,0,0,0.09,0.154545455,0.175757576,0.121212121,0,0.087878788,0.084848485,0.013333333
"(31, 32]",0.15,0.139393939,0.009090909,0.07,0.143333333,0.072727273,0.121212121,0.133333333,0,0.115151515,0.157575758,0
"(32, 33]",0.093333333,0.024242424,0,0.103333333,0.223333333,0.133333333,0.154545455,0.060606061,0,0.148484848,0.066666667,0
"(33, 34]",0.073333333,0,0,0.01,0.1,0.096969697,0.1,0.078787879,0,0.115151515,0.093939394,0.006666667
"(34, 35]",0.14137931,0.034482759,0.003134796,0.106896552,0.14137931,0.090909091,0.031347962,0.07523511,0,0.094043887,0.141065831,0.027586207
"(35, 36]",0.106666667,0.087878788,0.012121212,0.076666667,0.146666667,0.057575758,0.042424242,0.1,0,0.103030303,0.075757576,0.013333333
"(36, 37]",0.123333333,0.06969697,0,0.09,0.236666667,0.148484848,0.090909091,0.066666667,0,0.142424242,0.054545455,0
"(37, 38]",0.073333333,0.060606061,0,0.14,0.156666667,0.075757576,0.142424242,0.13030303,0,0.133333333,0.081818182,0
"(38, 39]",0.116666667,0.072727273,0,0.05,0.186666667,0.066666667,0.175757576,0.081818182,0,0.175757576,0.109090909,0.016666667
"(39, 40]",0.206666667,0.018181818,0,0.093333333,0.246666667,0.057575758,0.166666667,0.087878788,0,0.066666667,0.024242424,0.013333333
"(40, 41]",0.110344828,0.081504702,0,0.086206897,0.165517241,0.115987461,0.119122257,0.034482759,0.006896552,0.07523511,0.006269592,0
"(41, 42]",0.116666667,0.1,0.006060606,0.01,0.186666667,0.090909091,0.145454545,0.115151515,0,0.166666667,0.003030303,0
"(42, 43]",0.116666667,0.093939394,0.009090909,0.086666667,0.213333333,0.127272727,0.136363636,0.184848485,0,0.2,0.027272727,0.006666667
"(43, 44]",0.05,0.090909091,0.042424242,0.06,0.213333333,0.190909091,0.163636364,0.093939394,0.02,0.196969697,0.06969697,0.003333333
"(44, 45]",0.036666667,0.1,0.081818182,0.023333333,0.14,0.118181818,0.160606061,0.042424242,0.053333333,0.284848485,0.036363636,0.013333333
"(45, 46]",0.05,0.090909091,0.048484848,0.026666667,0.243333333,0.072727273,0.172727273,0.057575758,0,0.193939394,0.033333333,0.006666667
"(46, 47]",0.079310345,0.062695925,0.015673981,0.127586207,0.293103448,0.10031348,0.184952978,0.068965517,0,0.253918495,0.031347962,0
"(47, 48]",0.066666667,0.003030303,0.003030303,0.133333333,0.27,0.109090909,0.16969697,0.015151515,0.023333333,0.215151515,0,0
"(48, 49]",0.126666667,0.027272727,0.003030303,0.033333333,0.183333333,0.039393939,0.109090909,0,0.113333333,0.275757576,0.109090909,0
"(49, 50]",0.106666667,0.072727273,0,0.1,0.22,0.057575758,0.151515152,0.015151515,0,0.248484848,0.024242424,0
"(50, 51]",0.12,0,0,0.156666667,0.113333333,0.003030303,0.124242424,0.012121212,0,0.236363636,0.036363636,0
"(51, 52]",0.09,0.003030303,0.006060606,0.173333333,0.113333333,0.072727273,0.127272727,0.012121212,0,0.293939394,0.045454545,0
"(52, 53]",0.124137931,0,0,0.124137931,0.193103448,0.059561129,0.07523511,0.012539185,0,0.235109718,0.015673981,0.006896552
"(53, 54]",0.193333333,0.015151515,0.018181818,0.176666667,0.18,0.084848485,0.018181818,0,0,0.193939394,0.015151515,0
"(54, 55]",0.18,0,0.018181818,0.203333333,0.08,0.033333333,0.06969697,0.012121212,0.11,0.203030303,0.048484848,0.003333333
"(55, 56]",0.196666667,0.018181818,0,0.193333333,0.093333333,0.018181818,0,0.078787879,0.086666667,0.118181818,0.036363636,0.073333333
"(56, 57]",0.196666667,0.003030303,0,0.123333333,0.1,0.003030303,0,0.136363636,0.063333333,0.2,0,0
"(57, 58]",0.203333333,0,0,0.05,0.21,0.054545455,0.087878788,0.027272727,0.003333333,0.181818182,0.015151515,0
"(58, 59]",0.2,0,0,0.093103448,0.196551724,0,0.05015674,0.012539185,0,0.181818182,0.028213166,0.017241379
"(59, 60]",0.173333333,0.012121212,0,0.013333333,0.106666667,0.042424242,0.03030303,0.012121212,0.033333333,0.181818182,0,0.02
"(60, 61]",0.136666667,0,0.003030303,0,0.053333333,0.03030303,0.03030303,0.018181818,0.003333333,0.181818182,0.015151515,0.04
"(61, 62]",0.176666667,0.024242424,0,0.056666667,0.133333333,0,0.051515152,0.178787879,0,0.166666667,0.003030303,0
"(62, 63]",0.24,0,0.003030303,0.086666667,0.313333333,0.003030303,0.06969697,0.042424242,0.01,0.087878788,0.054545455,0
"(63, 64]",0.183333333,0,0,0.096666667,0.133333333,0,0.078787879,0.051515152,0.05,0.136363636,0.087878788,0.013333333
"(64, 65]",0.165517241,0,0,0.1,0.051724138,0,0.188087774,0.090909091,0.031034483,0.181818182,0.040752351,0
"(65, 66]",0.24,0.006060606,0,0.136666667,0.146666667,0.020527859,0.173020528,0.087878788,0,0.181818182,0,0.006451613
"(66, 67]",0.28,0,0.027272727,0.17,0.253333333,0,0.181818182,0.039393939,0,0.153605016,0.006060606,0
"(67, 68]",0.183333333,0,0.024242424,0.133333333,0.146666667,0.081818182,0.181818182,0.109090909,0.08,0.166666667,0,0
"(68, 69]",0.346666667,0.027272727,0,0.106666667,0.173333333,0.006060606,0.13030303,0.118181818,0.036666667,0.090909091,0,0
"(69, 70]",0.36,0.060606061,0.042424242,0.086666667,0.136666667,0.021212121,0.072727273,0.039393939,0,0.148484848,0.012121212,0
"(70, 71]",0.431034483,0.090909091,0,0.1,0.024137931,0.087774295,0.141065831,0,0,0.094043887,0,0
"(71, 72]",0.293333333,0.057575758,0.024242424,0.086666667,0.170967742,0.090909091,0.152492669,0.061583578,0.006451613,0.11143695,0,0.003225806
"(72, 73]",0.21,0.121212121,0.027272727,0.096666667,0.093103448,0.053291536,0.178683386,0.012539185,0,0.181818182,0,0.010344828
"(73, 74]",0.3,0.160606061,0,0.076666667,0.136666667,0.051515152,0.190909091,0.036363636,0,0.181818182,0,0.016666667
"(74, 75]",0.26,0.121212121,0.027272727,0.06,0.216666667,0.084848485,0.160606061,0,0,0.227272727,0,0
"(75, 76]",0.32,0.1,0.006060606,0.14,0.143333333,0.178787879,0.166666667,0.081818182,0,0.206060606,0,0
"(76, 77]",0.3,0.003134796,0,0.110344828,0.224137931,0.07523511,0.184952978,0.103448276,0,0.134796238,0,0.027586207
"(77, 78]",0.303225806,0.045454545,0.020527859,0.103225806,0.209677419,0.011730205,0.181818182,0.134897361,0.012903226,0.108504399,0,0
"(78, 79]",0.268965517,0.151515152,0.040752351,0.075862069,0.127586207,0.068965517,0.181818182,0.047021944,0,0.12539185,0.006269592,0.013793103
"(79, 80]",0.316666667,0.081818182,0.048484848,0.013333333,0.183333333,0.009090909,0.090909091,0.006060606,0.003333333,0.181818182,0.090909091,0.003333333
"(80, 81]",0.21,0,0.006060606,0,0.223333333,0.012121212,0.051515152,0,0,0.2,0.1,0.013333333
"(81, 82]",0.25,0.06969697,0,0.023333333,0.206666667,0.009090909,0.081818182,0.006060606,0,0.172727273,0.090909091,0
"(82, 83]",0.255172414,0.137931034,0,0.15862069,0.117241379,0,0.059561129,0,0,0.200626959,0.040752351,0.003448276
"(83, 84]",0.190322581,0.126099707,0,0.112903226,0.1,0.04398827,0.129032258,0,0,0.184750733,0.055718475,0.016129032
"(84, 85]",0.113793103,0.115987461,0,0.137931034,0.134482759,0,0.191222571,0,0,0.222570533,0.037617555,0
"(85, 86]",0.206666667,0.081818182,0.075757576,0.036666667,0.123333333,0.012121212,0.121212121,0,0,0.112121212,0.003030303,0.016666667
"(86, 87]",0.25,0.115151515,0.039393939,0,0.186666667,0.027272727,0.106060606,0,0,0.081818182,0,0
"(87, 88]",0.19,0.142424242,0.057575758,0,0.123333333,0.006060606,0.157575758,0.009090909,0,0.139393939,0.084848485,0.003333333
"(88, 89]",0.2,0.078369906,0.078369906,0.068965517,0.148275862,0.015673981,0.094043887,0,0,0.109717868,0.081504702,0.006896552
"(89, 90]",0.2,0.108504399,0.032258065,0.032258065,0.1,0.032258065,0.008797654,0.002932551,0,0.134897361,0.038123167,0.009677419
"(90, 91]",0.196551724,0.056426332,0,0,0.117241379,0.043887147,0,0.150470219,0,0.131661442,0.106583072,0.027586207
"(91, 92]",0.193333333,0.003030303,0,0,0.103333333,0.021212121,0.012121212,0.145454545,0.003333333,0.093939394,0.06969697,0.01
