Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.265517241,0.048275862,0.344827586,0.04137931,0.037931034,0.05862069,0.053639847,0.021943574,0.021428571,0.039285714,0.060714286,0.035714286
"(1, 2]",0.353333333,0.176666667,0.357575758,0.026666667,0.1,0.003448276,0.025925926,0.015151515,0,0,0.046666667,0
"(2, 3]",0.32,0.023333333,0.315151515,0.086666667,0.103333333,0.013333333,0.011111111,0,0,0,0,0
"(3, 4]",0.116666667,0.013333333,0.436363636,0,0.09,0.01,0.033333333,0,0,0,0.02,0.006060606
"(4, 5]",0.272413793,0.120689655,0.435736677,0.010344828,0,0,0.042145594,0.018808777,0,0,0.003448276,0
"(5, 6]",0.31,0.033333333,0.454545455,0.01,0.016666667,0,0.103703704,0,0,0,0.01,0
"(6, 7]",0.433333333,0.046666667,0.463636364,0.003333333,0.016666667,0.043333333,0.107407407,0.024242424,0,0,0.01,0.003030303
"(7, 8]",0.456666667,0.01,0.445454545,0.003333333,0.103333333,0.09,0.111111111,0.006060606,0,0,0.04,0.009090909
"(8, 9]",0.373333333,0.03,0.442424242,0.006666667,0.08,0.09,0.111111111,0.024242424,0,0,0,0.054545455
"(9, 10]",0.22,0.01,0.360606061,0,0.026666667,0.12,0.103703704,0.024242424,0,0,0,0.024242424
"(10, 11]",0.344827586,0,0.360501567,0.006896552,0,0.120689655,0.111111111,0,0.006896552,0,0,0
"(11, 12]",0.35,0.026666667,0.439393939,0.023333333,0.003333333,0.09,0.103703704,0,0.02,0,0,0.039393939
"(12, 13]",0.33,0.013333333,0.381818182,0,0,0.14,0.137037037,0.009090909,0,0,0,0
"(13, 14]",0.353333333,0,0.384848485,0,0,0.093333333,0.159259259,0,0,0,0,0
"(14, 15]",0.266666667,0,0.424242424,0,0,0.136666667,0.125925926,0,0.03,0,0.006666667,0
"(15, 16]",0.273333333,0.026666667,0.348484848,0,0,0.12,0.155555556,0,0.093333333,0,0,0
"(16, 17]",0.344827586,0.034482759,0.410658307,0.003448276,0,0.14137931,0.14559387,0,0.003448276,0,0,0
"(17, 18]",0.396666667,0.003333333,0.412121212,0,0,0.14,0.122222222,0.006060606,0.076666667,0,0,0
"(18, 19]",0.366666667,0.053333333,0.403030303,0,0.073333333,0.203333333,0.118518519,0,0.036666667,0,0,0.012121212
"(19, 20]",0.196666667,0.073333333,0.348484848,0.026666667,0.053333333,0.116666667,0.07037037,0.036363636,0.026666667,0,0,0
"(20, 21]",0.203333333,0.04,0.336363636,0.053333333,0.003333333,0.16,0.114814815,0.009090909,0.036666667,0.01,0,0.006060606
"(21, 22]",0.106666667,0,0.26969697,0.016666667,0,0.103333333,0.151851852,0,0.016666667,0.04,0.016666667,0
"(22, 23]",0.131034483,0.031034483,0.29153605,0,0.017241379,0.117241379,0.122605364,0,0,0.017241379,0,0
"(23, 24]",0.253333333,0.01,0.293939394,0,0,0.206666667,0.111111111,0,0.006666667,0.006666667,0,0
"(24, 25]",0.3,0.04,0.384848485,0,0,0.193333333,0.118518519,0.018181818,0,0.1,0,0
"(25, 26]",0.256666667,0.02,0.333333333,0,0.13,0.106666667,0.096296296,0.009090909,0,0.07,0.003333333,0
"(26, 27]",0.12,0.03,0.236363636,0.003333333,0.103333333,0.113333333,0.092592593,0.009090909,0,0.086666667,0,0
"(27, 28]",0.16,0.016666667,0.23030303,0,0.086666667,0.093333333,0.1,0.033333333,0,0.13,0.01,0
"(28, 29]",0.175862069,0.027586207,0.244514107,0,0.089655172,0.065517241,0.042145594,0.056426332,0,0.127586207,0,0
"(29, 30]",0.146666667,0.036666667,0.124242424,0.003333333,0.09,0.153333333,0,0.021212121,0,0.096666667,0,0.003030303
"(30, 31]",0.266666667,0.033333333,0.118181818,0.003333333,0.113333333,0.103333333,0.003703704,0,0.006666667,0.193333333,0,0
"(31, 32]",0.266666667,0.036666667,0.181818182,0.01,0.1,0.083333333,0.007407407,0,0.033333333,0.213333333,0,0
"(32, 33]",0.29,0.02,0.093939394,0.003333333,0.116666667,0.083333333,0.018518519,0,0,0.126666667,0,0
"(33, 34]",0.246666667,0.076666667,0.172727273,0,0.143333333,0.09,0.011111111,0.036363636,0,0.18,0,0
"(34, 35]",0.196551724,0,0.300940439,0,0.1,0.103448276,0,0.037617555,0,0.175862069,0,0
"(35, 36]",0.22,0.043333333,0.324242424,0.01,0.103333333,0.213333333,0,0.054545455,0,0.13,0,0
