Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.669230769,0.741258741,0.569230769,0.447552448,0.375384615,0.461818182,0.527272727,0.506666667,0.669090909,0.487272727,0.523636364,0.472
"(1, 2]",0.663333333,0.775757576,0.52,0.551515152,0.335897436,0.496969697,0.624242424,0.666666667,0.660606061,0.43030303,0.56969697,0.473333333
"(2, 3]",0.579310345,0.695924765,0.531034483,0.755485893,0.374005305,0.466666667,0.815151515,0.655555556,0.639393939,0.390909091,0.578787879,0.396666667
"(3, 4]",0.66,0.766666667,0.523333333,0.763636364,0.328205128,0.357575758,0.639393939,0.477777778,0.645454545,0.539393939,0.578787879,0.38
"(4, 5]",0.67,0.772727273,0.613333333,0.848484848,0.364102564,0.245454545,0.636363636,0.594444444,0.76969697,0.572727273,0.739393939,0.493333333
"(5, 6]",0.67,0.748484848,0.61,0.672727273,0.392307692,0.318181818,0.593939394,0.480555556,0.754545455,0.351515152,0.66969697,0.61
"(6, 7]",0.82,0.663636364,0.74,0.621212121,0.361538462,0.451515152,0.466666667,0.463888889,0.578787879,0.187878788,0.566666667,0.48
"(7, 8]",0.673333333,0.560606061,0.69,0.66969697,0.202564103,0.575757576,0.703030303,0.522222222,0.642424242,0.236363636,0.824242424,0.533333333
"(8, 9]",0.817241379,0.664576803,0.617241379,0.689655172,0.100795756,0.539184953,0.60815047,0.41091954,0.811912226,0.326018809,0.598746082,0.651724138
"(9, 10]",0.84,0.651515152,0.71,0.475757576,0.166666667,0.466666667,0.645454545,0.444444444,0.742424242,0.275757576,0.684848485,0.636666667
"(10, 11]",0.86,0.751515152,0.69,0.490909091,0.174358974,0.481818182,0.636363636,0.580555556,0.633333333,0.160606061,0.678787879,0.66
"(11, 12]",0.646666667,0.648484848,0.766666667,0.415151515,0.148717949,0.560606061,0.466666667,0.425,0.706060606,0.148484848,0.775757576,0.636666667
"(12, 13]",0.733333333,0.787878788,0.736666667,0.378787879,0.212820513,0.327272727,0.442424242,0.383333333,0.684848485,0.154545455,0.715151515,0.51
"(13, 14]",0.623333333,0.73030303,0.723333333,0.448484848,0.169230769,0.393939394,0.393939394,0.491666667,0.845454545,0.296969697,0.781818182,0.643333333
"(14, 15]",0.620689655,0.655172414,0.703448276,0.542319749,0.204244032,0.532915361,0.357366771,0.554597701,0.65830721,0.319749216,0.846394984,0.75862069
"(15, 16]",0.726666667,0.712121212,0.61,0.415151515,0.179487179,0.421212121,0.384848485,0.616666667,0.696969697,0.272727273,0.660606061,0.78
"(16, 17]",0.61,0.657575758,0.466666667,0.606060606,0.135897436,0.542424242,0.36969697,0.533333333,0.784848485,0.336363636,0.609090909,0.766666667
"(17, 18]",0.54,0.642424242,0.473333333,0.748484848,0.074358974,0.496969697,0.463636364,0.633333333,0.736363636,0.278787879,0.666666667,0.67
"(18, 19]",0.673333333,0.687878788,0.483333333,0.745454545,0.135897436,0.484848485,0.666666667,0.491666667,0.715151515,0.266666667,0.681818182,0.673333333
"(19, 20]",0.69,0.657575758,0.58,0.712121212,0.179487179,0.575757576,0.590909091,0.616666667,0.5,0.357575758,0.454545455,0.506666667
"(20, 21]",0.679310345,0.670846395,0.489655172,0.689655172,0.185676393,0.727272727,0.479623824,0.497126437,0.595611285,0.288401254,0.677115987,0.45862069
"(21, 22]",0.536666667,0.724242424,0.663333333,0.633333333,0.184615385,0.496969697,0.533333333,0.513888889,0.593939394,0.287878788,0.627272727,0.62
"(22, 23]",0.63,0.796969697,0.6,0.575757576,0.161538462,0.548484848,0.745454545,0.711111111,0.675757576,0.296969697,0.542424242,0.596666667
"(23, 24]",0.616666667,0.766666667,0.636666667,0.73030303,0.235897436,0.542424242,0.663636364,0.569444444,0.666666667,0.260606061,0.56969697,0.6
"(24, 25]",0.506666667,0.718181818,0.533333333,0.615151515,0.2,0.439393939,0.621212121,0.475,0.781818182,0.233333333,0.63030303,0.593333333
"(25, 26]",0.73,0.8,0.646666667,0.73030303,0.117948718,0.284848485,0.572727273,0.55,0.848484848,0.3,0.757575758,0.493333333
"(26, 27]",0.824137931,0.739811912,0.517241379,0.510971787,0.204244032,0.379310345,0.504702194,0.522988506,0.865203762,0.288401254,0.73354232,0.413793103
