Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity
"(0, 1]",0.489583333,0.556666667,0.603636364,0.563636364
"(1, 2]",0.547222222,0.619444444,0.593939394,0.575757576
"(2, 3]",0.663888889,0.747126437,0.724137931,0.460815047
"(3, 4]",0.561111111,0.780555556,0.633333333,0.372727273
"(4, 5]",0.513888889,0.591666667,0.533333333,0.56969697
"(5, 6]",0.722222222,0.666666667,0.775757576,0.551515152
"(6, 7]",0.711111111,0.672222222,0.787878788,0.548484848
"(7, 8]",0.647222222,0.608333333,0.660606061,0.451515152
"(8, 9]",0.681034483,0.643678161,0.467084639,0.454545455
"(9, 10]",0.564516129,0.616666667,0.596969697,0.439393939
"(10, 11]",0.617816092,0.636111111,0.678787879,0.551515152
"(11, 12]",0.713888889,0.608333333,0.603030303,0.609090909
"(12, 13]",0.747222222,0.741666667,0.515151515,0.627272727
"(13, 14]",0.758333333,0.597222222,0.612121212,0.639393939
"(14, 15]",0.732758621,0.67816092,0.517241379,0.605015674
"(15, 16]",0.658602151,0.783333333,0.493939394,0.739002933
"(16, 17]",0.706896552,0.65,0.615151515,0.489028213
"(17, 18]",0.677777778,0.533333333,0.445454545,0.53030303
"(18, 19]",0.594444444,0.625,0.46969697,0.415151515
"(19, 20]",0.538888889,0.680555556,0.615151515,0.618181818
"(20, 21]",0.606321839,0.692528736,0.55799373,0.586206897
"(21, 22]",0.599462366,0.76344086,0.384164223,0.536656891
"(22, 23]",0.477011494,0.637931034,0.489028213,0.44200627
"(23, 24]",0.683333333,0.730555556,0.463636364,0.539393939
"(24, 25]",0.686111111,0.722222222,0.572727273,0.572727273
"(25, 26]",0.613888889,0.738888889,0.493939394,0.475757576
"(26, 27]",0.57183908,0.709770115,0.551724138,0.564263323
"(27, 28]",0.647849462,0.572580645,0.604105572,0.48973607
"(28, 29]",0.698275862,0.770114943,0.351097179,0.523510972
"(29, 30]",0.694444444,0.736111111,0.287878788,0.387878788
"(30, 31]",0.688888889,0.677777778,0.26969697,0.345454545
"(31, 32]",0.605555556,0.702777778,0.536363636,0.433333333
"(32, 33]",0.57183908,0.83045977,0.702194357,0.545454545
"(33, 34]",0.629032258,0.809139785,0.706744868,0.521994135
"(34, 35]",0.522988506,0.675,0.766666667,0.573667712
"(35, 36]",0.65,0.652298851,0.55799373,0.475757576
"(36, 37]",0.544444444,0.658333333,0.606060606,0.657575758
"(37, 38]",0.480555556,0.619444444,0.518181818,0.651515152
"(38, 39]",0.462643678,0.488888889,0.454545455,0.727272727
"(39, 40]",0.440860215,0.586111111,0.584848485,0.648093842
"(40, 41]",0.442528736,0.686781609,0.620689655,0.579937304
"(41, 42]",0.572222222,0.669444444,0.615151515,0.742424242
"(42, 43]",0.691666667,0.658333333,0.627272727,0.636363636
"(43, 44]",0.669444444,0.725,0.46969697,0.618181818
"(44, 45]",0.611111111,0.877777778,0.372727273,0.575757576
"(45, 46]",0.641666667,0.802777778,0.442424242,0.46969697
"(46, 47]",0.370689655,0.677777778,0.412121212,0.4169279
"(47, 48]",0.494444444,0.704022989,0.410658307,0.451515152
"(48, 49]",0.522222222,0.558333333,0.484848485,0.666666667
"(49, 50]",0.538888889,0.688888889,0.518181818,0.712121212
"(50, 51]",0.508333333,0.761111111,0.439393939,0.7
"(51, 52]",0.566666667,0.838888889,0.324242424,0.557575758
"(52, 53]",0.541666667,0.798850575,0.614420063,0.652037618
"(53, 54]",0.540229885,0.602777778,0.575757576,0.718181818
"(54, 55]",0.622222222,0.725,0.509090909,0.693939394
"(55, 56]",0.738888889,0.85,0.527272727,0.715151515
"(56, 57]",0.516666667,0.816666667,0.527272727,0.742424242
"(57, 58]",0.619444444,0.722222222,0.490909091,0.678787879
"(58, 59]",0.655172414,0.725,0.587878788,0.63030303
"(59, 60]",0.488888889,0.528735632,0.695924765,0.714733542
"(60, 61]",0.380555556,0.619444444,0.681818182,0.587878788
"(61, 62]",0.461111111,0.636111111,0.427272727,0.706060606
"(62, 63]",0.558333333,0.544444444,0.596969697,0.509090909
"(63, 64]",0.475,0.727777778,0.687878788,0.454545455
"(64, 65]",0.563888889,0.591666667,0.648484848,0.503030303
"(65, 66]",0.609195402,0.540229885,0.482758621,0.626959248
"(66, 67]",0.591666667,0.677777778,0.603030303,0.545454545
"(67, 68]",0.608333333,0.638888889,0.557575758,0.572727273
"(68, 69]",0.586111111,0.605555556,0.760606061,0.43030303
"(69, 70]",0.630555556,0.483333333,0.624242424,0.536363636
