Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.644230769,0.353146853,0.636363636,0.443786982,0.178181818,0.146666667,0.258181818,0.136666667,0.421818182,0.334545455,0.32,0.109090909
"(1, 2]",0.744444444,0.342424242,0.424242424,0.551282051,0.184848485,0.183333333,0.209090909,0.236111111,0.381818182,0.287878788,0.22,0.121212121
"(2, 3]",0.609195402,0.410658307,0.304075235,0.519893899,0.250783699,0.272988506,0.290909091,0.166666667,0.427272727,0.290909091,0.346666667,0.121212121
"(3, 4]",0.588888889,0.542424242,0.518181818,0.451282051,0.260606061,0.313888889,0.412121212,0.311111111,0.490909091,0.196969697,0.45,0.096969697
"(4, 5]",0.563888889,0.375757576,0.575757576,0.628205128,0.321212121,0.311111111,0.296969697,0.444444444,0.424242424,0.090909091,0.38,0.133333333
"(5, 6]",0.455555556,0.260606061,0.603030303,0.482051282,0.263636364,0.247222222,0.23030303,0.269444444,0.315151515,0.142424242,0.206666667,0.093939394
"(6, 7]",0.691666667,0.348484848,0.660606061,0.556410256,0.239393939,0.305555556,0.23030303,0.288888889,0.375757576,0.133333333,0.206666667,0.048484848
"(7, 8]",0.736111111,0.566666667,0.503030303,0.51025641,0.254545455,0.213888889,0.260606061,0.244444444,0.536363636,0.254545455,0.203333333,0.157575758
"(8, 9]",0.718390805,0.526645768,0.501567398,0.50132626,0.231974922,0.183908046,0.36677116,0.422413793,0.457680251,0.36677116,0.131034483,0.169278997
"(9, 10]",0.533333333,0.503030303,0.518181818,0.333333333,0.142424242,0.211111111,0.336363636,0.261111111,0.327272727,0.23030303,0.303333333,0.163636364
