Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity
"(0, 1]",0.265151515,0.185606061,0.568,0.334545455
"(1, 2]",0.26969697,0.045454545,0.51,0.196969697
"(2, 3]",0.26969697,0.03030303,0.531034483,0.213166144
"(3, 4]",0.309090909,0.112121212,0.466666667,0.190909091
"(4, 5]",0.296969697,0.118181818,0.38,0.163636364
"(5, 6]",0.187878788,0.054545455,0.386666667,0.306060606
"(6, 7]",0.321212121,0.184848485,0.656666667,0.36969697
"(7, 8]",0.521212121,0.23030303,0.563333333,0.172727273
"(8, 9]",0.250783699,0.310344828,0.472413793,0.184952978
"(9, 10]",0.390029326,0.290322581,0.533333333,0.366666667
"(10, 11]",0.432601881,0.203761755,0.403333333,0.275757576
"(11, 12]",0.524242424,0.315151515,0.413333333,0.321212121
"(12, 13]",0.439393939,0.254545455,0.416666667,0.287878788
"(13, 14]",0.324242424,0.251515152,0.566666667,0.321212121
"(14, 15]",0.081504702,0.285266458,0.431034483,0.282131661
"(15, 16]",0.140762463,0.325513196,0.603333333,0.322580645
"(16, 17]",0.313479624,0.410658307,0.623333333,0.36677116
"(17, 18]",0.3,0.254545455,0.526666667,0.284848485
"(18, 19]",0.236363636,0.296969697,0.406666667,0.181818182
"(19, 20]",0.3,0.366666667,0.36,0.172727273
"(20, 21]",0.344827586,0.495297806,0.413793103,0.307210031
"(21, 22]",0.281524927,0.366568915,0.548387097,0.31085044
"(22, 23]",0.294670846,0.470219436,0.582758621,0.404388715
"(23, 24]",0.215151515,0.496969697,0.513333333,0.263636364
"(24, 25]",0.245454545,0.287878788,0.423333333,0.536363636
"(25, 26]",0.342424242,0.190909091,0.346666667,0.239393939
"(26, 27]",0.269592476,0.282131661,0.351724138,0.263322884
"(27, 28]",0.31085044,0.33431085,0.44516129,0.407624633
"(28, 29]",0.257053292,0.210031348,0.479310345,0.31661442
"(29, 30]",0.218181818,0.23030303,0.436666667,0.251515152
"(30, 31]",0.151515152,0.254545455,0.386666667,0.193939394
"(31, 32]",0.139393939,0.309090909,0.47,0.212121212
"(32, 33]",0.150470219,0.206896552,0.624137931,0.244514107
"(33, 34]",0.284457478,0.211143695,0.703225806,0.366568915
"(34, 35]",0.238244514,0.297805643,0.506666667,0.420062696
"(35, 36]",0.363636364,0.251515152,0.386206897,0.354545455
"(36, 37]",0.424242424,0.218181818,0.526666667,0.2
"(37, 38]",0.315151515,0.254545455,0.563333333,0.290909091
"(38, 39]",0.413793103,0.219435737,0.616666667,0.21630094
"(39, 40]",0.319648094,0.26686217,0.613333333,0.249266862
"(40, 41]",0.326018809,0.307210031,0.451724138,0.338557994
"(41, 42]",0.245454545,0.303030303,0.576666667,0.193939394
"(42, 43]",0.172727273,0.2,0.556666667,0.275757576
"(43, 44]",0.233333333,0.087878788,0.626666667,0.23030303
"(44, 45]",0.421212121,0.124242424,0.44,0.248484848
"(45, 46]",0.375757576,0.148484848,0.433333333,0.227272727
"(46, 47]",0.404388715,0.109717868,0.52,0.200626959
"(47, 48]",0.3,0.160606061,0.682758621,0.148484848
"(48, 49]",0.442424242,0.318181818,0.613333333,0.1
"(49, 50]",0.278787879,0.248484848,0.47,0.196969697
"(50, 51]",0.351515152,0.272727273,0.453333333,0.184848485
"(51, 52]",0.263636364,0.36969697,0.45,0.145454545
"(52, 53]",0.318181818,0.33030303,0.54137931,0.263322884
"(53, 54]",0.169278997,0.463949843,0.49,0.263636364
"(54, 55]",0.287878788,0.148484848,0.473333333,0.306060606
"(55, 56]",0.206060606,0.309090909,0.47,0.263636364
"(56, 57]",0.454545455,0.348484848,0.406666667,0.151515152
"(57, 58]",0.478787879,0.248484848,0.49,0.390909091
"(58, 59]",0.407523511,0.225705329,0.42,0.254545455
"(59, 60]",0.457575758,0.284848485,0.496551724,0.300940439
"(60, 61]",0.393939394,0.351515152,0.553333333,0.190909091
"(61, 62]",0.257575758,0.26969697,0.466666667,0.184848485
"(62, 63]",0.160606061,0.327272727,0.4,0.342424242
"(63, 64]",0.333333333,0.145454545,0.576666667,0.209090909
"(64, 65]",0.409090909,0.245454545,0.446666667,0.351515152
"(65, 66]",0.294670846,0.166144201,0.372413793,0.260188088
"(66, 67]",0.315151515,0.315151515,0.58,0.412121212
"(67, 68]",0.127272727,0.363636364,0.566666667,0.215151515
"(68, 69]",0.296969697,0.318181818,0.55,0.203030303
"(69, 70]",0.3,0.260606061,0.503333333,0.266666667
"(70, 71]",0.166666667,0.263636364,0.4,0.13030303
"(71, 72]",0.354231975,0.29153605,0.520689655,0.304075235
"(72, 73]",0.481818182,0.187878788,0.543333333,0.354545455
"(73, 74]",0.460606061,0.312121212,0.473333333,0.324242424
"(74, 75]",0.445454545,0.403030303,0.45,0.412121212
"(75, 76]",0.336363636,0.409090909,0.54,0.357575758
"(76, 77]",0.293939394,0.275757576,0.49,0.293939394
"(77, 78]",0.36677116,0.354231975,0.506896552,0.278996865
"(78, 79]",0.248484848,0.303030303,0.636666667,0.336363636
"(79, 80]",0.290909091,0.212121212,0.416666667,0.3
"(80, 81]",0.551515152,0.133333333,0.543333333,0.339393939
"(81, 82]",0.224242424,0.163636364,0.556666667,0.36969697
"(82, 83]",0.457575758,0.081818182,0.593333333,0.245454545
"(83, 84]",0.467084639,0.02507837,0.468965517,0.260188088
"(84, 85]",0.306060606,0.078787879,0.48,0.221212121
"(85, 86]",0.293939394,0.084848485,0.433333333,0.333333333
"(86, 87]",0.321212121,0.024242424,0.546666667,0.348484848
"(87, 88]",0.36969697,0.175757576,0.663333333,0.490909091
"(88, 89]",0.339393939,0.203030303,0.49,0.460606061
"(89, 90]",0.329153605,0.169278997,0.524137931,0.432601881
"(90, 91]",0.581818182,0.303030303,0.52,0.287878788
"(91, 92]",0.387878788,0.284848485,0.603333333,0.506060606
"(92, 93]",0.421212121,0.387878788,0.606666667,0.403030303
"(93, 94]",0.36969697,0.148484848,0.57,0.375757576
"(94, 95]",0.5,0.272727273,0.593333333,0.218181818
"(95, 96]",0.714733542,0.112852665,0.627586207,0.300940439
"(96, 97]",0.545454545,0.115151515,0.6,0.266666667
"(97, 98]",0.760606061,0.324242424,0.316666667,0.254545455
"(98, 99]",0.551515152,0.3,0.453333333,0.263636364
"(99, 100]",0.421212121,0.160606061,0.43,0.13030303
"(100, 101]",0.433333333,0.063636364,0.676666667,0.206060606
"(101, 102]",0.454545455,0.260188088,0.572413793,0.310344828
"(102, 103]",0.215151515,0.224242424,0.533333333,0.484848485
"(103, 104]",0.303030303,0.248484848,0.576666667,0.512121212
"(104, 105]",0.248484848,0.227272727,0.72,0.463636364
"(105, 106]",0.393939394,0.13030303,0.39,0.381818182
"(106, 107]",0.218181818,0.233333333,0.396666667,0.503030303
"(107, 108]",0.369905956,0.460815047,0.479310345,0.385579937
"(108, 109]",0.303030303,0.387878788,0.4,0.451515152
"(109, 110]",0.251515152,0.266666667,0.55,0.381818182
"(110, 111]",0.481818182,0.2,0.55,0.260606061
"(111, 112]",0.421212121,0.166666667,0.623333333,0.339393939
"(112, 113]",0.512121212,0.1,0.433333333,0.427272727
"(113, 114]",0.326018809,0.191222571,0.334482759,0.379310345
"(114, 115]",0.224242424,0.296969697,0.323333333,0.245454545
"(115, 116]",0.348484848,0.293939394,0.533333333,0.312121212
"(116, 117]",0.481818182,0.224242424,0.55,0.160606061
"(117, 118]",0.46969697,0.303030303,0.59,0.148484848
"(118, 119]",0.4,0.348484848,0.446666667,0.215151515
"(119, 120]",0.376175549,0.231974922,0.531034483,0.285266458
"(120, 121]",0.184848485,0.215151515,0.52,0.284848485
"(121, 122]",0.2,0.16969697,0.34,0.209090909
"(122, 123]",0.239393939,0.160606061,0.473333333,0.333333333
"(123, 124]",0.290909091,0.16969697,0.423333333,0.263636364
"(124, 125]",0.384848485,0.124242424,0.523333333,0.209090909
"(125, 126]",0.432601881,0.200626959,0.74137931,0.304075235
"(126, 127]",0.460410557,0.164222874,0.476666667,0.293255132
"(127, 128]",0.338557994,0.184952978,0.336666667,0.166144201
"(128, 129]",0.433333333,0.203030303,0.363333333,0.178787879
"(129, 130]",0.539393939,0.196969697,0.533333333,0.263636364
"(130, 131]",0.475757576,0.142424242,0.48,0.133333333
"(131, 132]",0.272727273,0.166144201,0.327586207,0.090909091
"(132, 133]",0.266666667,0.133333333,0.516666667,0.140762463
"(133, 134]",0.224242424,0.187878788,0.516666667,0.163009404
"(134, 135]",0.287878788,0.181818182,0.496666667,0.178787879
"(135, 136]",0.287878788,0.066666667,0.55,0.242424242
"(136, 137]",0.421212121,0.081818182,0.616666667,0.275757576
"(137, 138]",0.576802508,0.115987461,0.603448276,0.297805643
"(138, 139]",0.483870968,0.164222874,0.6,0.372434018
"(139, 140]",0.485893417,0.203761755,0.413793103,0.382445141
"(140, 141]",0.406060606,0.136363636,0.396666667,0.193939394
"(141, 142]",0.336363636,0,0.403333333,0.215151515
"(142, 143]",0.345454545,0.16969697,0.423333333,0.384848485
"(143, 144]",0.401253918,0.282131661,0.582758621,0.206896552
"(144, 145]",0.451612903,0.260997067,0.567741935,0.316715543
"(145, 146]",0.39184953,0.310344828,0.434482759,0.360501567
"(146, 147]",0.563636364,0.233333333,0.326666667,0.33030303
