Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 1]",0.435897436,0.026923077,0.237179487,0.017482517,0.156666667,0.206153846,0.28,0.056666667,0.014545455,0.036666667,0.105454545,0.054545455
"(1, 2]",0.402777778,0.05,0.169444444,0.103030303,0.197222222,0.179487179,0.348484848,0.083333333,0.015151515,0.052777778,0.163636364,0.112121212
"(2, 3]",0.364942529,0.062068966,0.198275862,0.109717868,0.189655172,0.084615385,0.327272727,0.027777778,0.015151515,0.169444444,0.106060606,0.121212121
"(3, 4]",0.358333333,0.266666667,0.163888889,0.003030303,0.108333333,0.128205128,0.442424242,0.016666667,0.03030303,0.2,0.06969697,0.066666667
"(4, 5]",0.352777778,0.366666667,0.186111111,0.093939394,0.047222222,0.166666667,0.287878788,0.005555556,0,0.122222222,0.060606061,0.090909091
"(5, 6]",0.302777778,0.19,0.136111111,0.163636364,0.111111111,0.146153846,0.339393939,0.094444444,0.060606061,0.055555556,0.054545455,0.090909091
"(6, 7]",0.413888889,0.036666667,0.219444444,0.154545455,0.063888889,0.153846154,0.303030303,0.055555556,0.06969697,0.063888889,0.166666667,0.078787879
"(7, 8]",0.355555556,0.046666667,0.177777778,0.145454545,0.025,0.094871795,0.327272727,0.077777778,0.024242424,0.105555556,0.093939394,0.13030303
"(8, 9]",0.554597701,0.1,0.215517241,0.068965517,0.086206897,0.159151194,0.373040752,0.066091954,0.094043887,0.146551724,0.062695925,0.090909091
"(9, 10]",0.355555556,0.136666667,0.244444444,0.175757576,0,0.097435897,0.272727273,0.102777778,0.072727273,0.147222222,0.057575758,0.066666667
