Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity
"(0, 1]",0.015151515,0.276363636,0.112,0.105454545
"(1, 2]",0,0.2,0.156666667,0.012121212
"(2, 3]",0,0.231974922,0.106896552,0.003134796
"(3, 4]",0.051515152,0.275757576,0.073333333,0.051515152
"(4, 5]",0.036363636,0.215151515,0.066666667,0.018181818
"(5, 6]",0.081818182,0.275757576,0.086666667,0.054545455
"(6, 7]",0.015151515,0.163636364,0.04,0
"(7, 8]",0.093939394,0.257575758,0.193333333,0.009090909
"(8, 9]",0.153605016,0.304075235,0.144827586,0.166144201
"(9, 10]",0.117302053,0.221212121,0.116666667,0.109090909
"(10, 11]",0.090909091,0.221212121,0.266666667,0.127272727
"(11, 12]",0.096969697,0.203030303,0.24,0.193939394
"(12, 13]",0.112121212,0.496969697,0.19,0.033333333
"(13, 14]",0,0.281818182,0.16,0.033333333
"(14, 15]",0.012539185,0.39184953,0.151724138,0.009404389
"(15, 16]",0.046920821,0.290909091,0.116129032,0.038123167
"(16, 17]",0.072100313,0.206060606,0.075862069,0.084639498
"(17, 18]",0.072727273,0.224242424,0.093333333,0.1
"(18, 19]",0.087878788,0.33030303,0.03,0.090909091
"(19, 20]",0.127272727,0.309090909,0.15,0.027272727
"(20, 21]",0.203761755,0.247648903,0.113793103,0.122257053
"(21, 22]",0.134897361,0.246334311,0.05483871,0.061583578
"(22, 23]",0.037617555,0.260188088,0.127586207,0.05015674
"(23, 24]",0.012121212,0.163636364,0.11,0.066666667
"(24, 25]",0.015151515,0.06969697,0.193333333,0.006060606
"(25, 26]",0.015151515,0,0.076666667,0.036363636
"(26, 27]",0,0.12539185,0.089655172,0.028213166
"(27, 28]",0,0.205278592,0.112903226,0.058651026
"(28, 29]",0,0.137931034,0.093103448,0.037617555
"(29, 30]",0.072727273,0.139393939,0.073333333,0.072727273
"(30, 31]",0,0.148484848,0.093333333,0.112121212
"(31, 32]",0,0.009090909,0.156666667,0.124242424
"(32, 33]",0,0.07523511,0.210344828,0.178683386
